city,population,dining_access_rate,hotel_access_rate,attraction_access_rate,healthcare_density,essential_density,transit_density,bench_density,toilet_density,parking_density,tag_coverage_pct,pct_paved_streets,pct_good_smoothness,mobility_score,mobility_cluster,pca_x,pca_y,top_factors
"Chennai, India",6599000,46.15,100.0,0.0,3.9,0.73,2.81,0.96,0.06,0.57,2.4,2.6,0.0,28.8,1,-1.2255892675239115,-0.3014304571716681,"[('parking_density', -24.23), ('bench_density', -3.43), ('essential_density', -0.93)]"
"Vienna, Austria",2028289,53.02,81.61,84.29,9.42,5.27,3.14,3.14,0.78,9.42,31.21,71.12,30.04,89.4,2,1.0580246668120525,0.17022693473383244,"[('parking_density', 11.93), ('bench_density', 3.26), ('healthcare_density', 2.66)]"
"Johor Bahru, Malaysia",797882,88.89,0.0,0.0,0.85,1.36,6.54,0.71,0.03,5.08,1.92,34.62,0.0,31.6,1,-1.2497433694076392,0.0731094625926401,"[('parking_density', -7.97), ('bench_density', -6.12), ('essential_density', -1.31)]"
"Jaipur, India",3073350,0.0,66.67,0.0,2.07,0.19,1.39,0.96,0.03,0.45,2.29,6.98,2.33,14.3,1,-1.4019461277847787,-0.43862495820125946,"[('parking_density', -23.74), ('bench_density', -3.37), ('healthcare_density', -1.76)]"
"Cancun, Mexico",888797,65.85,72.73,0.0,0.76,1.55,1.13,4.34,0.0,1.43,26.67,6.9,0.0,26.0,3,0.31948020201931493,-1.6435211787820223,"[('parking_density', -26.82), ('bench_density', 2.39), ('healthcare_density', -1.26)]"
"Berlin, Germany",3782202,63.74,73.84,77.06,7.46,5.01,0.0,2.49,1.05,7.46,53.94,64.94,42.64,93.3,2,0.5111997561134876,0.16199766733431897,"[('parking_density', 8.32), ('bench_density', 2.86), ('healthcare_density', 2.65)]"
"Athens, Greece",643452,39.81,50.79,64.71,15.95,12.16,19.1,6.37,0.11,10.06,17.17,51.44,4.42,65.6,4,3.7819292531061772,-0.18349370006740193,"[('parking_density', 11.86), ('bench_density', 3.22), ('healthcare_density', 2.62)]"
"Orlando, United States",334854,92.31,100.0,100.0,0.61,0.52,7.58,1.06,0.03,7.04,12.0,0.0,0.0,59.4,1,-1.1007520944871556,0.008631030316025523,"[('bench_density', -2.96), ('parking_density', -1.5), ('healthcare_density', -1.4)]"
"Moscow, Russia",13274285,31.48,34.48,46.43,7.46,5.03,7.46,2.34,0.65,7.46,6.24,72.76,31.34,73.0,2,0.4422384519302813,0.22311910114999878,"[('parking_density', 8.26), ('bench_density', 2.83), ('healthcare_density', 2.65)]"
"Venice, Italy",250369,75.0,44.93,50.0,0.64,0.93,4.41,0.55,0.11,1.53,20.81,47.6,3.13,51.3,1,-1.5507149696633764,-0.19174761202257576,"[('parking_density', -13.7), ('bench_density', -5.64), ('healthcare_density', -0.74)]"
"Madrid, Spain",3332035,54.81,92.11,78.33,7.46,5.02,7.46,2.49,0.15,7.46,17.8,56.13,14.67,73.4,2,0.5123118279988699,0.16284312552913105,"[('parking_density', 8.28), ('bench_density', 2.85), ('healthcare_density', 2.63)]"
"Riyadh, Saudi Arabia",7009100,100.0,100.0,0.0,0.28,0.44,1.31,0.43,0.0,2.08,2.43,6.25,0.0,37.6,1,-1.6584526145295118,-0.15799455666214962,"[('parking_density', -12.5), ('bench_density', -5.97), ('healthcare_density', -2.22)]"
"Florence, Italy",360930,63.96,55.13,68.18,2.3,2.22,15.1,4.39,0.13,8.43,21.08,52.42,8.94,70.1,3,0.835303793154613,-0.9806729173200169,"[('parking_density', 8.6), ('bench_density', 3.11), ('healthcare_density', -2.03)]"
"Jerusalem, Israel",1050151,55.56,66.67,75.0,0.9,2.34,18.19,6.06,0.08,6.36,4.05,19.59,0.0,59.8,3,1.4605304884227943,-1.8596297463332212,"[('bench_density', 3.19), ('parking_density', -2.91), ('healthcare_density', -1.69)]"
"Hanoi, Vietnam",8717600,60.0,50.0,0.0,2.06,3.34,6.63,1.55,0.17,3.34,0.86,47.26,1.91,42.9,1,-0.6383250300404565,-0.1765461190711252,"[('parking_density', -10.92), ('healthcare_density', -2.04), ('essential_density', 0.2)]"
"Toronto, Canada",2794356,70.59,85.0,85.71,6.39,3.61,7.46,2.49,0.24,7.46,12.45,67.2,1.79,75.6,2,0.29075775090925476,-0.0043065328556609606,"[('parking_density', 8.18), ('bench_density', 2.79), ('healthcare_density', 1.13)]"
"Johannesburg, South Africa",4949347,100.0,100.0,0.0,0.5,0.77,0.9,0.91,0.05,2.37,2.94,46.0,0.0,50.8,1,-1.3672082322207615,-0.28733892704432945,"[('parking_density', -10.13), ('bench_density', -3.98), ('healthcare_density', -1.25)]"
"Sydney, Australia",5450496,89.36,95.65,62.96,3.11,2.67,7.46,2.49,0.82,7.46,6.57,65.8,6.98,88.2,2,-0.012268938374915737,-0.23073602706091645,"[('parking_density', 7.88), ('bench_density', 2.68), ('healthcare_density', -0.41)]"
"Beijing, China",21893095,58.33,92.31,92.86,1.1,2.29,7.46,1.86,0.31,3.46,3.14,10.05,0.34,58.0,1,-0.6605101810325614,-0.4216051082483629,"[('parking_density', -10.13), ('bench_density', 1.99), ('healthcare_density', -1.31)]"
"Saint Petersburg, Russia",5652922,26.98,51.16,98.59,7.46,5.01,7.46,2.49,0.5,7.46,14.06,61.36,9.09,68.8,2,0.5111997561134876,0.16199766733431897,"[('parking_density', 8.32), ('bench_density', 2.86), ('healthcare_density', 2.65)]"
"Brussels, Belgium",195546,44.68,69.57,88.89,8.15,9.0,19.1,5.77,0.17,19.1,11.97,55.93,11.47,80.1,4,3.0926782287182215,0.15693899423994145,"[('parking_density', 17.23), ('bench_density', 3.83), ('healthcare_density', 2.63)]"
"Budapest, Hungary",1685209,54.67,82.09,69.52,6.61,5.86,11.34,3.78,0.42,11.34,21.8,74.34,36.05,93.7,4,1.3462880619984368,-0.006578652911847435,"[('parking_density', 15.04), ('bench_density', 3.69), ('healthcare_density', 1.95)]"
"Lima, Peru",9943800,96.43,70.18,86.84,4.37,3.23,5.0,2.49,0.12,7.46,12.12,20.53,0.15,57.5,2,0.1262570367166696,-0.12693759555842787,"[('parking_density', 7.68), ('bench_density', 2.65), ('healthcare_density', -0.51)]"
"Lisbon, Portugal",545796,64.71,91.07,73.68,6.58,7.33,19.1,1.86,0.19,19.1,8.0,17.48,3.65,69.6,0,0.9563850228028662,1.4945610164764316,"[('parking_density', 16.22), ('bench_density', 1.92), ('essential_density', 0.72)]"
"Dammam, Saudi Arabia",903312,0.0,100.0,0.0,0.1,1.11,0.17,0.43,0.0,1.07,1.72,0.0,0.0,15.6,1,-1.6416417664993452,-0.18978283237057975,"[('parking_density', -24.09), ('bench_density', -5.35), ('healthcare_density', -2.34)]"
"Penang, Malaysia",794313,0.0,0.0,33.33,0.29,0.38,1.44,0.33,0.09,1.25,4.0,36.69,2.51,18.3,1,-1.7504404649329819,-0.18904497563460204,"[('parking_density', -23.5), ('bench_density', -5.35), ('healthcare_density', -2.42)]"
"Heraklion, Greece",145440,79.37,50.0,77.78,0.84,1.08,5.22,1.15,0.03,3.58,43.72,62.73,8.7,65.1,1,-1.142188445216579,-0.24470125860485464,"[('parking_density', -8.68), ('healthcare_density', -0.78), ('bench_density', -0.59)]"
"Kyoto, Japan",1463723,71.43,88.46,66.67,3.94,5.69,13.05,3.09,1.71,13.05,3.19,30.63,3.04,91.0,2,0.9175968146999335,0.2688736077177535,"[('parking_density', 16.49), ('bench_density', 3.64), ('essential_density', 1.18)]"
"Zhuhai, China",2439585,0.0,0.0,0.0,0.28,0.41,3.95,0.76,0.07,7.83,0.0,4.94,0.0,3.2,1,-1.2387160619419193,0.16626988539685456,"[('bench_density', -8.72), ('parking_density', 7.5), ('healthcare_density', -3.16)]"
"Vancouver, Canada",662248,86.81,93.55,90.0,7.72,3.06,15.65,2.46,0.14,19.1,14.78,56.15,11.07,88.6,0,0.8352601691173059,0.9469046156477925,"[('parking_density', 17.4), ('bench_density', 3.43), ('healthcare_density', 2.64)]"
"Chiang Mai, Thailand",1198000,48.39,62.07,75.0,0.91,4.2,1.92,0.81,0.34,15.95,5.97,61.9,4.76,60.5,0,-0.3790927450383029,1.1412520410420142,"[('parking_density', 12.85), ('bench_density', -9.47), ('healthcare_density', -2.31)]"
"Copenhagen, Denmark",667099,50.81,68.18,78.26,2.52,6.32,18.26,6.37,0.89,19.1,21.72,65.32,18.01,95.6,4,2.738680615773637,-0.5596111968315833,"[('parking_density', 17.18), ('bench_density', 3.83), ('healthcare_density', -1.28)]"
"San Francisco, United States",873965,94.93,86.27,75.0,3.65,4.09,19.1,2.46,0.41,19.1,16.2,56.37,0.64,89.3,0,0.7035041332272404,0.8516353934804552,"[('parking_density', 17.22), ('bench_density', 3.33), ('essential_density', 1.02)]"
"Melbourne, Australia",5350705,70.67,94.29,72.73,3.96,2.65,7.46,2.49,0.44,7.46,10.43,63.27,0.54,76.4,2,0.0369453758572142,-0.19434372384414386,"[('parking_density', 7.85), ('bench_density', 2.67), ('essential_density', 0.38)]"
"Warsaw, Poland",1862402,75.44,92.0,93.44,10.11,5.24,10.26,1.76,0.35,10.26,29.21,53.51,24.8,89.8,2,0.4804652838425789,0.8122077222378314,"[('parking_density', 14.57), ('healthcare_density', 2.88), ('bench_density', 2.06)]"
"Marrakesh, Morocco",1002697,81.82,47.62,80.0,3.37,0.95,3.8,0.83,0.01,2.21,4.47,22.22,2.02,47.6,1,-1.2188907421905597,-0.12456930185291795,"[('parking_density', -11.83), ('bench_density', -4.03), ('essential_density', -0.62)]"
"Kolkata, India",4496694,42.86,9.09,100.0,2.15,0.24,2.96,2.49,0.01,0.19,8.29,8.57,0.0,30.4,1,-0.6775017749420059,-1.0576937668720559,"[('parking_density', -27.49), ('bench_density', 2.17), ('healthcare_density', -1.93)]"
"Cebu City, Philippines",965332,71.43,83.33,0.0,2.23,3.51,4.04,1.57,0.04,7.21,2.0,14.55,0.0,35.2,1,-0.4202983391151238,0.145468912263219,"[('parking_density', -2.97), ('healthcare_density', -2.56), ('bench_density', -0.54)]"
"Auckland, New Zealand",1470100,90.2,90.0,80.0,3.21,2.29,10.62,3.06,0.75,12.99,7.19,52.38,2.51,86.2,2,0.4782982239487752,-0.04417725355015175,"[('parking_density', 16.84), ('bench_density', 3.66), ('healthcare_density', -0.11)]"
